Metro,Population,Transit,Walk,Bike,No Car,Index,Rank
"Missoula, MT Metro Area",114231,2.1,5.3,4.5,2.6,0.838350785340314,31
"Burlington-South Burlington, VT Metro Area",216751,2.1,6.6,1.5,2.7,0.837696335078534,32
"Muncie, IN Metro Area",115938,1.9,4.7,0.9,3,0.830497382198953,33
"New Orleans-Metairie, LA Metro Area",1260660,2.8,2.4,1.2,4.5,0.827225130890052,34
"Durham-Chapel Hill, NC Metro Area",550281,4.1,3.2,0.8,3.1,0.822643979057592,35
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13261538,5.3,2.5,0.9,3.6,0.821335078534031,36
"Pittsburgh, PA Metro Area",2348143,5.5,3.4,0.4,4,0.820026178010471,37
"Flagstaff, AZ Metro Area",138639,1.5,8.6,2.2,2.6,0.818062827225131,38
"Lancaster, PA Metro Area",536494,1.3,3.8,0.7,7.1,0.817408376963351,39
"Tucson, AZ Metro Area",1007257,2.7,2.3,1.8,3.7,0.815445026178011,40
"Morgantown, WV Metro Area",137475,2.1,5.4,0.5,3.2,0.81086387434555,41
"Rochester, NY Metro Area",1080653,2.4,3.4,0.5,4.1,0.808246073298429,42
"Milwaukee-Waukesha-West Allis, WI Metro Area",1575101,3.5,2.7,0.6,3.8,0.798429319371728,43
"Syracuse, NY Metro Area",659262,2.5,4.4,0.3,4.4,0.794502617801047,44
"Santa Cruz-Watsonville, CA Metro Area",273263,2.8,4.5,3.7,2.2,0.793193717277487,45
"Lansing-East Lansing, MI Metro Area",472092,2.6,3.6,1.2,2.6,0.792539267015707,46
"Erie, PA Metro Area",277794,1.7,3.9,0.4,4.1,0.789921465968586,47
"Harrisonburg, VA Metro Area",131717,1,5.2,1,3.1,0.788612565445026,48
"Albany-Schenectady-Troy, NY Metro Area",881862,3.5,3.5,0.3,4.3,0.785340314136126,49
"Pocatello, ID Metro Area",84113,1.5,4.2,1.2,2.6,0.775523560209424,50
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1136670,3.3,2.6,0.4,4.9,0.774869109947644,51
"Binghamton, NY Metro Area",245446,2.6,3.5,0.3,4.5,0.773560209424084,52
"Kingston, NY Metro Area",180129,2.4,4.1,0.5,2.8,0.771596858638744,53
"Chico, CA Metro Area",225207,1.2,3.2,2.6,2.9,0.769633507853403,54
"Baltimore-Columbia-Towson, MD Metro Area",2792050,6.5,2.7,0.3,4.7,0.768324607329843,55
"Bremerton-Silverdale, WA Metro Area",258903,9.3,5.1,0.6,2.2,0.763743455497382,56
"Harrisburg-Carlisle, PA Metro Area",565008,1.6,3.5,0.4,3.6,0.757198952879581,57
